曲名,背景(グラデーションの場合あり),テキスト線,ボタン,ボタン文字色
ZTMY,#9932cc,#000,#5f52a0,#fff
秒針,#e0a983,#2e3743,#3e8b93,#ecdcb8
脳裏上,#3e8b93,#272f2e,#e0a983,#fcdac7
ヒューマノイド,#acabac,#030302,#e8eb63,#000000
DNA,linear-gradient(#48655b，#b59b4c),#241914,#7a9a71,#211812
正義,#f6efe4,#660804,#ecccb0,#660804
勘さえ,#c5bfe1,#020009,#ac022a,#c6c0e0
毛布,#030208,#f5f0f2,#dd5453,#f5f0f2
ハゼ,#e1ac80,#0296e3,#0296e3,#eaedea
MILABO,#dde4d6,#0aaeb0,#0aaeb0,#f6fbeb
Ham,linear-gradient(#4fc3c7， #8bbb95),#282827,#95b79b,#282827
ばにら,#fff0fd,#eb007b,#d282c3,#020002
袖,#f7f3fa,#e6332b,#35d8cf,#fff
夏枯れ,#004698,#000305,#034126,#fff
綺羅キラー,#b2c5ba,#1d5e3f,#57af88,#c9b850
ミラーチューン,#7c2ebf,#f786b6,#301645,#fff
花一匁,linear-gradient(#020018，#310074),#c372e4,#470081,#b6b6b6
噓じゃない,#f0ebe0,#614c86,#8dd085,#614c86
ぶるくろ,linear-gradient(#789b98，#c1dcda),#524845,#c0d5d0,#524845
海馬成長痛,linear-gradient(#050407，#905fef),#a1ff42,#a1ff44,#9b34f8
クズリ念,linear-gradient(#eb9963，#31a9ab),#f2f2f4,#f2f2f4,#eb9963
シェードの埃は延長,#b1211d,#f0ad4f,#131211,#f0ad4f